# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "6" "-a" "Mus_musculus.GRCm39.112.chrs_17-19.gtf" "-o" "GC1.featureCounts.txt" "GC1.bam" 
Geneid	Chr	Start	End	Strand	Length	GC1.bam
ENSMUSG00000117252	17	22403745	22405089	-	1345	92
ENSMUSG00000096433	17;17;17;17;17	22416246;22421657;22424286;22442992;22444520	22420790;22421783;22424333;22443075;22444597	-;-;-;-;-	4882	42
ENSMUSG00000117284	17;17;17;17;17;17	22504852;22508750;22511389;22528486;22532218;22533728	22507882;22508876;22511436;22528578;22532301;22533818	-;-;-;-;-;-	3474	65
ENSMUSG00000117164	17	22550837	22551975	-	1139	0
ENSMUSG00000033972	17;17;17;17;17;17	22556970;22559948;22562621;22577804;22578421;22580149	22559088;22560074;22562674;22577969;22578505;22580381	-;-;-;-;-;-	2784	82
ENSMUSG00000044501	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	22580434;22580434;22580436;22580503;22590972;22590972;22591017;22592624;22592624;22592624;22592624;22593769;22593769;22593769;22593769	22580688;22580688;22580688;22580688;22591069;22591069;22591069;22592750;22592750;22592750;22592750;22596262;22596261;22596262;22595237	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2974	42
ENSMUSG00000099798	17	87147458	87148144	+	687	0
ENSMUSG00000071266	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	22643203;22643240;22643249;22647462;22647462;22647462;22663149;22663149;22665778;22665778;22665778;22670060;22670078;22670104;22672433;22672433;22672433;22673405;22673405;22673405	22643410;22643410;22643410;22647546;22647546;22647546;22663272;22663272;22665874;22665874;22666397;22670133;22670133;22670133;22672559;22672559;22672559;22675670;22674819;22675670	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3504	156
ENSMUSG00000117058	17	22705208	22705357	-	150	0
ENSMUSG00000037689	17;17;17;17;17	87224776;87225679;87225837;87229614;87229614	87225009;87226014;87226014;87229795;87229802	+;+;+;+;+	759	0
ENSMUSG00000117094	17	22705536	22705731	+	196	0
ENSMUSG00000117457	17;17;17	87236401;87241843;87251755	87236553;87241937;87252137	+;+;+	631	0
ENSMUSG00000117259	17;17	22713603;22714334	22714179;22714543	+;+	787	0
ENSMUSG00000053375	17;17;17;17;17;17;17;17;17	87251537;87251537;87251537;87253068;87253068;87253215;87255272;87255272;87255272	87252497;87252497;87252497;87253125;87253355;87253355;87255325;87255315;87255299	-;-;-;-;-;-;-;-;-	1303	0
ENSMUSG00000024143	17;17;17;17;17;17;17;17;17;17;17;17	87270510;87270720;87271018;87271728;87271728;87301987;87301987;87302023;87302432;87302432;87304333;87304333	87271175;87270786;87271175;87271786;87271786;87302151;87302151;87302151;87302526;87302527;87304856;87307497	+;+;+;+;+;+;+;+;+;+;+;+	4151	105
ENSMUSG00000095093	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	22763485;22763485;22763485;22763485;22763485;22778024;22778024;22778024;22783420;22787820;22787820;22787820;22787820;22787820;22789703;22789703;22789703;22789703;22789703;22790808;22790808;22790808;22790808;22790808;22792058;22792058;22792058;22792058	22767841;22767841;22767841;22767841;22767841;22778147;22778147;22778147;22783558;22788047;22787927;22788047;22788047;22788047;22790515;22790515;22790515;22790515;22790515;22791099;22791099;22792463;22791099;22791099;22792463;22792463;22792463;22792463	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7317	0
ENSMUSG00000117628	17;17	87277800;87280889	87277849;87282716	+;+	1878	2
ENSMUSG00000024145	17;17;17;17;17;17	87304684;87316231;87327829;87329287;87331093;87332726	87304995;87316339;87327945;87329378;87331341;87332834	-;-;-;-;-;-	988	14
ENSMUSG00000024146	17;17;17;17;17;17;17;17;17;17;17;17	87332978;87333038;87333039;87335077;87335127;87335127;87338436;87338436;87341684;87341684;87342406;87342406	87333103;87333103;87333081;87335670;87335192;87335192;87338490;87338490;87341787;87341787;87342900;87343238	+;+;+;+;+;+;+;+;+;+;+;+	1712	201
ENSMUSG00000094921	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	22819932;22819932;22819932;22819932;22821226;22821226;22821226;22821226;22821813;22821813;22821813;22821813;22824049;22824049;22824049;22824049;22833864;22833864;22833864;22837195;22837195;22837195	22820325;22820325;22820325;22820325;22821517;22821517;22821517;22821517;22822625;22822625;22822625;22822625;22824228;22824118;22832164;22824276;22833987;22833987;22833987;22839823;22839823;22839823	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12368	2
ENSMUSG00000087736	17	87361122	87361253	-	132	0
ENSMUSG00000117055	17;17	22906701;22907858	22906849;22909441	+;+	1733	0
ENSMUSG00000071035	17	87385699	87386583	+	885	184
ENSMUSG00000117183	17;17	22932763;22935781	22934994;22935918	-;-	2370	24
ENSMUSG00000098210	17;17	22953936;22954184	22954115;22954353	+;+	350	26
ENSMUSG00000037104	17;17;17;17;17;17;17;17;17	87415107;87415119;87415286;87428176;87428176;87428490;87428808;87441050;87441050	87415475;87415475;87415475;87428236;87428236;87428646;87430418;87445267;87441670	+;+;+;+;+;+;+;+;+	6416	101
ENSMUSG00000098164	17;17;17;17;17	22958918;22963634;22966147;22967023;22969041	22959154;22963716;22966273;22967084;22970482	+;+;+;+;+	1951	0
ENSMUSG00002075652	17	87491533	87491653	-	121	0
ENSMUSG00000117333	17;17	22996191;23026585	22997597;23026710	-;-	1533	2
ENSMUSG00000117384	17;17;17;17	87499644;87500049;87500376;87501693	87499955;87500279;87500550;87502370	-;-;-;-	1396	0
ENSMUSG00000023991	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	48178058;48178689;48178689;48178693;48180029;48180029;48180029;48180029;48180650;48180650;48180650;48180650;48182155;48182155;48182155;48182155;48185560;48185560;48185560;48185560;48186280;48186280;48186280;48186280;48186445;48186445;48186445;48186445;48186765;48186765;48186765;48186765;48188066;48188066;48188066;48188066;48188853;48188853;48188853;48188853;48189209;48189209;48189209;48189209;48189210;48189405;48189532;48189532;48189532;48189532;48189532;48189532;48191188;48191188;48191188;48191188;48191188;48191265;48191695;48191695;48191695;48191695;48191695;48198818;48199050;48199050;48199050;48199050;48199050;48199050;48199322;48215221;48215221;48215221;48215221;48215221;48235131;48235131;48235131;48235131;48235131	48179728;48179728;48179728;48179728;48180198;48180198;48180198;48180198;48180716;48180716;48180716;48180716;48182276;48182276;48182276;48182276;48185661;48185661;48185661;48185661;48186356;48186356;48186356;48186356;48186613;48186649;48186649;48186613;48186848;48186848;48186848;48186848;48188153;48188153;48188153;48188153;48188957;48188957;48188957;48188957;48189422;48189422;48189422;48189419;48189419;48189422;48189878;48189679;48189679;48189679;48189679;48189679;48191274;48191274;48191274;48191268;48191274;48191817;48191817;48191817;48191817;48191817;48191817;48199145;48199075;48199145;48199145;48199145;48199145;48199145;48199358;48215459;48215459;48215459;48215459;48215459;48235351;48235401;48235360;48235325;48235570	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4926	279
ENSMUSG00000059142	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	23065671;23066456;23068004;23076224;23076224;23076224;23080480;23080480;23080480;23080703;23080706;23084221;23084221;23085955;23085955;23085955	23071740;23071740;23071740;23076350;23076350;23076350;23080693;23080535;23080535;23084310;23080826;23084310;23084310;23086108;23086079;23086108	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	10173	95
ENSMUSG00000117002	17	23092460	23092975	+	516	5
ENSMUSG00000117141	17	23114688	23116569	+	1882	0
ENSMUSG00000085932	17;17;17	48233303;48233612;48233980	48233501;48233700;48234354	+;+;+	663	0
ENSMUSG00000090355	17;17;17;17;17;17	23135852;23138755;23146908;23148365;23149489;23151719	23136770;23138878;23147135;23149177;23149777;23151915	-;-;-;-;-;-	2570	0
ENSMUSG00000092111	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	23161958;23161958;23161958;23161958;23161958;23164296;23164296;23164296;23164296;23164296;23164884;23164884;23164884;23164884;23164884;23166924;23166924;23166924;23166924;23166924;23174323;23174918;23174918;23174918;23176869;23176869;23176869;23176869	23162354;23162354;23162354;23162354;23162354;23164584;23164584;23164584;23164584;23164584;23165543;23165696;23165696;23165696;23165696;23167151;23167151;23175041;23167151;23167151;23175041;23184632;23175041;23175041;23184632;23184632;23184632;23184632	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	19208	1
ENSMUSG00000084288	17	48247015	48247371	+	357	123
ENSMUSG00000094752	17;17;17;17;17;17	23211680;23213859;23214448;23216524;23224839;23227025	23211876;23214144;23215260;23216751;23224962;23227944	+;+;+;+;+;+	2568	0
ENSMUSG00000082492	17	48314304	48314497	-	194	0
ENSMUSG00000093433	17	23233361	23234007	-	647	0
ENSMUSG00000024150	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	87561871;87562086;87563216;87563398;87564186;87564575;87564575;87564575;87564575;87564659;87565356;87565356;87565356;87565356;87565356;87565356;87566178;87566178;87566211;87571569;87571569;87573220;87573220;87573263;87573263;87573263;87573263;87573263	87563485;87563485;87563485;87563485;87564734;87564734;87564734;87564734;87564734;87564734;87565517;87565517;87565517;87565517;87565517;87565517;87566309;87566309;87566309;87571793;87571793;87573308;87573308;87573291;87573302;87573323;87573363;87573332	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2827	2080
ENSMUSG00000094928	17;17;17	48347554;48348224;48349023	48348090;48348377;48349102	-;-;-	771	0
ENSMUSG00000117308	17	48367380	48367532	-	153	226
ENSMUSG00000117334	17;17;17	48376209;48378565;48400823	48377786;48378739;48400898	-;-;-	1829	0
ENSMUSG00000021545	17;17;17;17;17	48399839;48400202;48400544;48400755;48400755	48400211;48400591;48400591;48401437;48401438	+;+;+;+;+	1437	0
ENSMUSG00000117157	17;17	48403299;48405082	48403363;48406152	+;+	1136	0
ENSMUSG00000073386	17;17;17;17;17;17;17;17;17;17;17	48436215;48436895;48437871;48442185;48442185;48452568;48452568;48452568;48453122;48453122;48453122	48439184;48439184;48439184;48442275;48442275;48452732;48452879;48452879;48453422;48453439;48453349	-;-;-;-;-;-;-;-;-;-;-	3691	0
ENSMUSG00000117266	17	48448896	48449075	-	180	0
ENSMUSG00000002617	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	23392843;23392867;23393850;23393850;23396259;23397249;23397249;23397249;23397249;23401122;23401122;23401122;23410319;23410319;23410319;23410320;23410651;23410651;23410728;23412049;23412049;23412049;23412049	23396338;23393192;23396338;23396338;23396338;23397375;23397513;23397375;23397375;23401206;23401206;23401206;23410353;23410482;23410409;23410776;23410776;23410776;23410776;23412226;23412225;23412184;23412226	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4482	21
ENSMUSG00000093493	17;17;17;17;17;17	23460624;23470772;23486493;23493580;23494660;23495956	23461543;23470895;23486720;23494395;23494943;23496152	-;-;-;-;-;-	2569	0
ENSMUSG00000043939	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	48456296;48458876;48459065;48459595;48470426;48472241;48473474;48473546;48473546;48473546;48474099;48474099;48474099;48474099;48474099	48458766;48460140;48460140;48460140;48470609;48473857;48473857;48473857;48473857;48473857;48474443;48474366;48474385;48474384;48474385	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5882	1
ENSMUSG00000091945	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	23504366;23504366;23504366;23504366;23515839;23515839;23515839;23515839;23517840;23527004;23527004;23527004;23527004;23528802;23528802;23528802;23529917;23529917;23529917;23529917;23531091;23531091;23531091;23531091	23510827;23510827;23510827;23510827;23515962;23521041;23515962;23515962;23521041;23527231;23529611;23527231;23527231;23529611;23529611;23529611;23530208;23530208;23530208;23530208;23531511;23531402;23531402;23531402	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	14986	0
ENSMUSG00000042265	17;17;17;17;17;17;17	48539796;48539799;48544026;48548514;48548514;48551574;48551574	48539871;48539871;48544382;48548697;48548697;48553952;48553390	+;+;+;+;+;+;+	2996	0
ENSMUSG00000117318	17;17	48545239;48547141	48546475;48547669	-;-	1766	0
ENSMUSG00000041754	17;17;17;17	48554805;48556577;48564898;48565446	48554922;48556927;48564998;48565869	+;+;+;+	994	0
ENSMUSG00000091076	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	23562715;23562715;23562715;23564027;23564027;23564027;23564604;23564604;23564604;23566792;23566792;23566792;23575934;23578183;23578183;23578183	23563147;23563147;23563147;23564318;23564318;23564318;23565416;23565416;23565416;23576057;23567019;23567019;23576057;23581512;23581512;23581512	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	14134	1
ENSMUSG00000036918	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	87590314;87590321;87590333;87590376;87590379;87597617;87597617;87597617;87600239;87600239;87600239;87600239;87600239;87601437;87601437;87614357;87614357;87614357;87614357;87616157;87616157;87616157;87616157;87616760;87628831;87628831;87628831;87628831;87628831;87629866;87629866;87629866;87629866;87629866;87630496;87630552;87630552;87630552;87630552;87630552;87636751;87636751;87636751;87636751;87636751;87636751;87637453;87637453;87637453;87637453;87637453;87637453;87637642;87641695;87641695;87641695;87641695;87641695;87641695;87647319;87647319;87647319;87647319;87647319;87648316;87648316;87648316;87648316;87649495;87649495;87649495;87649495;87653969;87653969;87653969;87653969;87666542;87666542;87666542;87669277;87669277;87669277;87669277;87670884;87670884;87670884;87677887;87677887;87677887;87686281;87687277;87687277;87687277	87590838;87590838;87590838;87591243;87590838;87597780;87597780;87597780;87600407;87600407;87600357;87600407;87600407;87601494;87601494;87614487;87614487;87614487;87614487;87616272;87616272;87616272;87616272;87616937;87628909;87628909;87628909;87628909;87628909;87630023;87630023;87630023;87630023;87630023;87630615;87630615;87630615;87630615;87630615;87630615;87636888;87636888;87636888;87636888;87636888;87636888;87637536;87637505;87637536;87637536;87637536;87637536;87637696;87641701;87641799;87641799;87641799;87641799;87641799;87647377;87647436;87647436;87647436;87647436;87648373;87648373;87648373;87648373;87649567;87649567;87649567;87649567;87654129;87654129;87654129;87654129;87666658;87666658;87666658;87669371;87669349;87669371;87669371;87671022;87671018;87671018;87678089;87679332;87678089;87686387;87689197;87687514;87689197	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6720	785
ENSMUSG00000089701	17;17	87637192;87639340	87637788;87639480	-;-	738	0
ENSMUSG00000090966	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	23603578;23603578;23603578;23603578;23603578;23603578;23603578;23603578;23604604;23604886;23604886;23604886;23604886;23604996;23605576;23605576;23605576;23605576;23605576;23605576;23605576;23605576;23607733;23607733;23607733;23607733;23607733;23607853;23616611;23616611;23616611;23616611;23616611;23616611;23616611;23616611;23619919;23619919;23619919;23619919;23619919;23619919;23619919;23619919	23603973;23603973;23603973;23603973;23603973;23603973;23605174;23603973;23605174;23605174;23605174;23605174;23605174;23605174;23606388;23606388;23606388;23607960;23606388;23606388;23606388;23606388;23607960;23607960;23607960;23607960;23607960;23607960;23616734;23616734;23616734;23616734;23616734;23616734;23616734;23616734;23623396;23623396;23623396;23623396;23623396;23623396;23623396;23623396	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7584	0
ENSMUSG00000089755	17;17	87669667;87671760	87670066;87671890	-;-	531	1
ENSMUSG00000117159	17	23634515	23634752	+	238	0
ENSMUSG00000096270	17;17	23659985;23665016	23660904;23665141	-;-	1046	0
ENSMUSG00000091407	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	23674147;23674147;23674147;23690151;23690151;23690151;23694316;23694316;23694316;23696104;23696104;23696104;23697202;23697202;23697202;23698375;23698375;23698375	23679568;23679568;23679568;23690274;23690274;23690274;23694543;23694543;23694543;23696916;23696916;23696916;23697776;23697493;23697894;23698673;23698673;23698673	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7579	0
ENSMUSG00000109027	17	23710305	23711445	-	1141	0
ENSMUSG00000117154	17	23734428	23734758	+	331	46
ENSMUSG00000036557	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	87696999;87697004;87702589;87702589;87718633;87718657;87718956;87718956;87724918;87724928;87729942;87729942;87729942;87729942;87729942;87733071;87733071;87733071;87733071;87733071;87735008;87735008;87735008;87735008;87735008	87697140;87697140;87702693;87702693;87718711;87718711;87719020;87719020;87725254;87725254;87730199;87730105;87730199;87730199;87730199;87733130;87733130;87733130;87733130;87733130;87735063;87735063;87735136;87735169;87735115	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1208	0
ENSMUSG00000051682	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	48571323;48571365;48571365;48571369;48571401;48571660;48571660;48571660;48571660;48571672;48576414;48576414;48576414;48576414;48576414;48576710;48576713;48576713;48576713;48576737;48579467;48579717;48579717;48579717;48579717;48581408;48581408;48581408;48581408;48581408;48581408	48571468;48571468;48571468;48571468;48571468;48572013;48572013;48572013;48572013;48572013;48576464;48576464;48576464;48576464;48576464;48576794;48576794;48576794;48576794;48576794;48579846;48579846;48579846;48579846;48579846;48581540;48581694;48581528;48581521;48581521;48582388	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1997	60
ENSMUSG00000036438	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	87740840;87741093;87741148;87742322;87742504;87742504;87742504;87743032;87743032;87743032;87743032;87743054;87743219;87743219;87743219;87743219;87750124;87750124;87750124;87750124;87754221;87754221;87754221;87754221;87754221	87741483;87741483;87741483;87742639;87742639;87742639;87742639;87743362;87743138;87743138;87743138;87743138;87743362;87743362;87743362;87743362;87750154;87750154;87750154;87750154;87754363;87754277;87754276;87754284;87754363	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1467	759
ENSMUSG00000089427	17	87760651	87760784	-	134	0
ENSMUSG00000100847	17;17	87798176;87809562	87798283;87810044	+;+	591	0
ENSMUSG00000117361	17;17	87836931;87838110	87837290;87838172	-;-	423	0
ENSMUSG00000071068	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	48606526;48606968;48607066;48607383;48607414;48609640;48609640;48609640;48609640;48610757;48613388;48614908;48615085;48616147;48616147;48616435;48616435	48606556;48607624;48607624;48607624;48607624;48609960;48609960;48609960;48609960;48610829;48613594;48615301;48615301;48616253;48616253;48619561;48617049	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4917	11
ENSMUSG00000117414	17;17;17;17	87866605;87877451;87877857;87878708	87867374;87877634;87878078;87879082	-;-;-;-	1551	0
ENSMUSG00000043740	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	48623169;48623437;48623452;48623759;48623759;48623759;48625406;48626179;48626179;48628006;48628006;48629439;48629439;48630965;48630965	48623513;48623513;48623513;48625239;48624070;48624070;48625496;48626242;48626242;48628133;48628133;48629497;48629497;48634052;48631227	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5256	14
ENSMUSG00000023992	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	48653429;48653468;48653516;48653517;48655485;48655485;48655485;48657519;48658129;48658129;48658129;48658719;48658774;48658774;48659036;48659036;48659036	48653623;48655835;48653623;48653623;48655835;48655835;48655835;48657586;48658219;48658219;48658219;48658958;48658958;48658958;48659301;48659301;48661175	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4946	18
ENSMUSG00000023993	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	48666944;48666944;48666947;48666947;48666947;48667163;48667163;48667163;48667163;48671887;48671887;48671887;48671887;48671887;48672536;48672536;48672536;48672536;48672536;48673024;48673024;48673024;48673024;48673024;48673648;48673648;48673648;48673648;48673751	48667010;48667010;48667495;48667010;48667010;48667266;48667495;48667495;48667495;48672025;48672025;48672025;48672025;48672040;48672621;48672621;48672621;48672621;48672621;48673076;48673076;48673076;48673076;48673076;48674049;48674049;48674204;48674174;48674049	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1402	0
ENSMUSG00000005371	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	88298287;88298287;88298846;88299389;88299686;88299686;88299686;88299686;88300247;88300247;88300247;88300247;88300575;88300575;88300575;88300575;88300641;88301165;88301165;88301165;88301165;88301165;88303464;88303464;88303464;88303464;88303464;88303695;88303695;88303695;88303695;88303695;88304759;88304759;88304759;88304759;88304759;88304941;88304941;88304941;88304941;88304941;88306961;88306961;88306961;88306961;88308200;88308200;88308200;88308200;88308200;88310180;88310180;88310180;88310180;88316022;88316022;88316022;88316022;88316244;88316244;88316244;88316438;88316438;88316438;88316632;88316632;88316632;88318364;88318364;88318364;88318721;88318721;88318721;88319985;88319985;88319985;88321834;88321834;88321834;88322827;88322827;88322827;88323016;88323016;88323016;88323023;88372063;88372437;88372437;88372646	88299603;88299603;88299603;88299603;88299784;88299784;88299784;88299784;88300355;88300355;88300355;88300355;88300682;88300682;88300682;88300682;88300682;88301275;88301275;88301275;88301275;88301275;88303607;88303607;88303607;88303607;88303607;88303771;88303771;88303771;88303771;88303771;88304844;88304844;88304844;88304844;88304844;88305063;88305063;88305063;88305063;88305063;88307055;88307055;88307055;88307055;88308410;88308285;88308285;88308285;88308285;88310397;88310397;88310397;88310397;88316159;88316124;88316159;88316159;88316350;88316350;88316350;88316549;88316549;88316549;88316738;88316738;88316738;88318496;88318496;88318496;88318804;88318804;88318804;88320114;88320114;88320114;88321975;88321978;88321975;88322908;88322908;88322908;88323140;88323140;88323140;88323140;88372315;88372719;88372456;88372671	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4397	329
ENSMUSG00000097676	17;17	88453512;88467111	88454487;88467189	-;-	1055	0
ENSMUSG00000117369	17;17	88475915;88477740	88476346;88478032	+;+	725	0
ENSMUSG00000118572	17	23918473	23919087	-	615	0
ENSMUSG00000117351	17;17	88560911;88695816	88561723;88696127	-;-	1125	0
ENSMUSG00000117497	17;17;17;17;17;17;17;17;17;17;17	88601933;88603464;88603496;88607976;88607976;88611841;88611983;88612622;88612622;88612622;88612928	88603706;88603709;88603706;88608095;88608095;88611904;88612136;88612806;88612768;88614315;88612963	-;-;-;-;-;-;-;-;-;-;-	3809	0
ENSMUSG00000088791	17	88649816	88649910	-	95	0
ENSMUSG00000119680	17	88700254	88700360	-	107	0
